event_id,venue_id,cat_id,date_id,eventname,starttime
1,305,8,1851,Gotterdammerung,25-01-2008 14:30
2,306,8,2114,Boris Godunov,15-10-2008 20:00
3,302,8,1935,Salome,19-04-2008 14:30
4,309,8,2090,La Cenerentola (Cinderella),21-09-2008 14:30
5,302,8,1982,Il Trovatore,05-06-2008 19:00
6,308,8,2109,L Elisir d Amore,10-10-2008 19:30
7,309,8,1891,Doctor Atomic,06-03-2008 14:00
8,302,8,1832,The Magic Flute,06-01-2008 20:00
9,308,8,2087,The Fly,18-09-2008 19:30
10,305,8,2079,Rigoletto,10-09-2008 15:00
11,302,8,1952,Doctor Atomic,01-05-2008 19:30
12,303,8,2111,Ring Cycle,12-10-2008 15:00
13,301,8,2154,Lucia di Lammermoor,24-11-2008 15:00
14,303,8,2149,La Rondine,19-11-2008 19:30
15,307,8,2038,Die Walkure,31-07-2008 19:30
16,304,8,1987,La Gioconda,10-06-2008 14:00
17,301,8,1834,La Gioconda,08-01-2008 19:00
18,306,8,2152,Gotterdammerung,22-11-2008 19:00
19,302,8,2088,Boris Godunov,19-09-2008 14:30
20,303,8,2051,Boris Godunov,13-08-2008 19:30
21,306,8,2176,Adriana Lecouvreur,16-12-2008 20:00
22,306,8,2172,La Rondine,12-12-2008 14:30
23,305,8,2037,Rusalka,30-07-2008 20:00
24,301,8,1900,Gotterdammerung,15-03-2008 14:30
25,300,8,1859,La Cenerentola (Cinderella),02-02-2008 20:00
26,307,8,2031,Il Trovatore,24-07-2008 19:30
27,304,8,2148,Gotterdammerung,18-11-2008 19:30
28,300,8,2125,Siegfried,26-10-2008 20:00
29,301,8,2014,Adriana Lecouvreur,07-07-2008 14:30
30,302,8,1917,Don Giovanni,01-04-2008 15:00
31,303,8,1861,Doctor Atomic,04-02-2008 15:00
32,308,8,2165,Ring Cycle,05-12-2008 19:00
33,301,8,1923,Siegfried,07-04-2008 14:30
34,301,8,2118,Ring Cycle,19-10-2008 20:00
35,309,8,2149,Salome,19-11-2008 19:00
36,304,8,2058,The Magic Flute,20-08-2008 20:00
37,308,8,1989,Il Trovatore,12-06-2008 14:00
38,303,8,2111,Il Trovatore,12-10-2008 15:00
39,306,8,2053,La Rondine,15-08-2008 14:00
40,309,8,2109,L Elisir d Amore,10-10-2008 14:30
41,306,8,2126,La Cenerentola (Cinderella),27-10-2008 15:00
42,305,8,1888,La Traviata,03-03-2008 15:00
43,307,8,1924,Il Trovatore,08-04-2008 14:30
44,308,8,1950,Lucia di Lammermoor,01-05-2008 20:00
45,302,8,2031,La Sonnambula,24-07-2008 20:00
46,304,8,1896,Madama Butterfly,11-03-2008 14:00
47,307,8,1968,La Rondine,01-05-2008 19:30
48,309,8,1861,La Gioconda,04-02-2008 19:30
49,303,8,1899,Simon Boccanegra,14-03-2008 14:00
50,305,8,1830,Simon Boccanegra,04-01-2008 20:00
51,300,8,1867,Tristan und Isolde,10-02-2008 14:00
52,307,8,2161,Madama Butterfly,01-12-2008 19:00
53,308,8,1977,Orfeo ed Euridice,01-05-2008 14:30
54,300,8,1831,La Cenerentola (Cinderella),05-01-2008 15:00
55,301,8,2102,La Traviata,03-10-2008 15:00
56,306,8,1837,L Elisir d Amore,11-01-2008 19:00
57,305,8,2084,The Magic Flute,15-09-2008 14:30
58,303,8,1938,La Traviata,22-04-2008 14:30
59,301,8,1843,Tristan und Isolde,17-01-2008 15:00
60,300,8,2090,Il Trovatore,21-09-2008 20:00
61,303,8,1901,L Elisir d Amore,16-03-2008 14:00
62,307,8,2068,Adriana Lecouvreur,30-08-2008 19:30
63,301,8,2027,The Fly,20-07-2008 19:00
64,309,8,1880,Rusalka,23-02-2008 19:30
65,307,8,1873,Madama Butterfly,16-02-2008 15:00
66,303,8,2027,La Damnation de Faust,20-07-2008 15:00
67,301,8,2032,Rusalka,25-07-2008 19:30
68,306,8,1911,Die Walkure,26-03-2008 19:30
69,300,8,2172,Rigoletto,12-12-2008 20:00
70,304,8,2100,The Fly,01-10-2008 14:00
71,308,8,2026,Boris Godunov,19-07-2008 15:00
72,305,8,2080,Lucia di Lammermoor,11-09-2008 14:00
73,308,8,1867,L Elisir d Amore,10-02-2008 14:30
74,307,8,2187,Il Trovatore,27-12-2008 19:30
75,309,8,2127,The Fly,28-10-2008 19:00
76,306,8,1869,Il Trovatore,12-02-2008 19:30
77,305,8,2047,Die Walkure,09-08-2008 15:00
78,300,8,2065,La Damnation de Faust,27-08-2008 20:00
79,302,8,1872,La Boheme,15-02-2008 20:00
80,306,8,2151,La Rondine,21-11-2008 14:00
81,306,8,1833,The Birds (Die Vogel),07-01-2008 14:00
82,308,8,1947,La Damnation de Faust,01-05-2008 14:30
83,309,8,2169,Cavalleria Rusticana and Pagliacci,09-12-2008 19:30
84,305,8,2143,Cavalleria Rusticana and Pagliacci,13-11-2008 19:00
85,304,8,1914,La Sonnambula,29-03-2008 15:00
86,308,8,1935,La Rondine,19-04-2008 15:00
87,305,8,2182,Carmen,22-12-2008 19:30
88,304,8,2047,Rigoletto,09-08-2008 15:00
89,305,8,1856,Doctor Atomic,30-01-2008 20:00
90,308,8,2129,La Gioconda,30-10-2008 15:00
91,306,8,1891,Das Rheingold,06-03-2008 20:00
92,302,8,1832,Die Walkure,06-01-2008 15:00
93,305,8,2125,Il Trovatore,26-10-2008 20:00
94,302,8,2051,La Traviata,13-08-2008 14:00
95,309,8,1867,The Queen of Spades,10-02-2008 14:00
96,308,8,1878,Rigoletto,21-02-2008 19:00
97,304,8,2148,Doctor Atomic,18-11-2008 19:00
98,308,8,2070,Rigoletto,01-09-2008 14:30
99,309,8,1966,La Boheme,01-05-2008 20:00
100,300,8,2129,Siegfried,30-10-2008 15:00
101,309,8,1868,Die Walkure,11-02-2008 15:00
102,300,8,1909,La Sonnambula,24-03-2008 14:30
103,302,8,1872,The Magic Flute,15-02-2008 15:00
104,304,8,2187,The Magic Flute,27-12-2008 20:00
105,304,8,2095,Simon Boccanegra,26-09-2008 20:00
106,307,8,2187,Lucia di Lammermoor,27-12-2008 19:30
107,306,8,1966,Tristan und Isolde,01-05-2008 14:30
108,309,8,1934,Salome,18-04-2008 19:00
109,307,8,1977,Adriana Lecouvreur,01-05-2008 14:30
110,307,8,2135,La Damnation de Faust,05-11-2008 19:00
111,309,8,1909,Rigoletto,24-03-2008 19:30
112,305,8,2185,La Cenerentola (Cinderella),25-12-2008 14:30
113,302,8,1951,Boris Godunov,01-05-2008 20:00
114,301,8,2000,La Cenerentola (Cinderella),23-06-2008 19:30
115,309,8,1873,La Gioconda,16-02-2008 20:00
116,304,8,1913,Boris Godunov,28-03-2008 14:00
117,308,8,1830,Il Trovatore,04-01-2008 19:00
118,308,8,1972,The Fly,01-05-2008 19:00
119,300,8,2049,La Rondine,11-08-2008 14:00
120,300,8,2152,Thais,22-11-2008 15:00
121,300,8,2092,Il Trovatore,23-09-2008 14:30
122,300,8,1991,Orfeo ed Euridice,14-06-2008 20:00
123,307,8,2076,The Magic Flute,07-09-2008 19:00
124,309,8,1925,The Queen of Spades,09-04-2008 14:00
125,306,8,2187,Eugene Onegin,27-12-2008 15:00
126,300,8,2056,The Birds (Die Vogel),18-08-2008 20:00
127,308,8,2161,The Birds (Die Vogel),01-12-2008 14:00
128,303,8,2067,Rusalka,29-08-2008 14:30
129,306,8,2166,Salome,06-12-2008 19:00
130,300,8,1911,La Rondine,26-03-2008 19:30
131,300,8,1969,The Birds (Die Vogel),01-05-2008 14:30
132,303,8,1919,Siegfried,03-04-2008 19:30
133,300,8,2113,The Queen of Spades,14-10-2008 20:00
134,302,8,1856,L Elisir d Amore,30-01-2008 15:00
135,309,8,2013,La Cenerentola (Cinderella),06-07-2008 14:00
136,307,8,1876,Doctor Atomic,19-02-2008 19:30
137,306,8,1979,La Boheme,02-06-2008 14:00
138,308,8,1980,Doctor Atomic,03-06-2008 15:00
139,306,8,1961,La Rondine,01-05-2008 19:00
140,309,8,2019,Lucia di Lammermoor,12-07-2008 19:00
141,303,8,2122,Madama Butterfly,23-10-2008 19:30
142,306,8,2188,La Rondine,28-12-2008 19:30
143,302,8,1871,The Birds (Die Vogel),14-02-2008 20:00
144,301,8,1919,Cavalleria Rusticana and Pagliacci,03-04-2008 19:30
145,306,8,2054,Orfeo ed Euridice,16-08-2008 20:00
146,306,8,1873,Die Walkure,16-02-2008 14:00
147,300,8,2082,Madama Butterfly,13-09-2008 14:30
148,302,8,2005,Tristan und Isolde,28-06-2008 20:00
149,304,8,2032,Doctor Atomic,25-07-2008 20:00
150,300,8,1985,The Magic Flute,08-06-2008 19:00
151,302,8,1867,Rusalka,10-02-2008 19:30
152,305,8,2058,The Birds (Die Vogel),20-08-2008 19:00
153,303,8,1949,Il Trovatore,01-05-2008 15:00
154,303,8,1924,Don Giovanni,08-04-2008 19:00
155,302,8,1932,La Damnation de Faust,16-04-2008 14:30
156,307,8,2050,La Damnation de Faust,12-08-2008 19:30
157,302,8,2144,Die Walkure,14-11-2008 19:30
158,307,8,2069,L Elisir d Amore,31-08-2008 20:00
159,303,8,1888,Lucia di Lammermoor,03-03-2008 14:30
160,306,8,2047,Siegfried,09-08-2008 19:30
161,300,8,2028,Siegfried,21-07-2008 14:30
162,303,8,2080,The Queen of Spades,11-09-2008 19:00
163,307,8,2066,The Magic Flute,28-08-2008 20:00
164,300,8,2167,La Damnation de Faust,07-12-2008 15:00
165,301,8,1882,Die Walkure,25-02-2008 15:00
166,302,8,2012,Die Walkure,05-07-2008 14:30
167,308,8,2132,Boris Godunov,02-11-2008 19:30
168,305,8,1848,Lucia di Lammermoor,22-01-2008 19:30
169,307,8,1845,La Boheme,19-01-2008 19:00
170,302,8,1869,Lucia di Lammermoor,12-02-2008 15:00
171,304,8,1914,The Magic Flute,29-03-2008 15:00
172,304,8,1959,Adriana Lecouvreur,01-05-2008 19:00
173,301,8,1913,La Sonnambula,28-03-2008 14:30
174,301,8,2035,Il Trovatore,28-07-2008 19:30
175,309,8,2043,Orfeo ed Euridice,05-08-2008 14:30
176,307,8,1950,La Damnation de Faust,01-05-2008 20:00
177,301,8,2169,Tristan und Isolde,09-12-2008 19:00
178,303,8,1834,Salome,08-01-2008 14:30
179,300,8,2020,Siegfried,13-07-2008 19:30
180,301,8,2107,Salome,08-10-2008 15:00
181,308,8,1879,Tristan und Isolde,22-02-2008 20:00
182,300,8,2121,Rusalka,22-10-2008 19:30
183,303,8,2141,Thais,11-11-2008 15:00
184,303,8,1882,The Birds (Die Vogel),25-02-2008 14:30
185,302,8,2115,Doctor Atomic,16-10-2008 20:00
186,307,8,2064,La Sonnambula,26-08-2008 14:00
187,301,8,2187,Salome,27-12-2008 19:00
188,307,8,2059,Gotterdammerung,21-08-2008 15:00
189,307,8,2189,Don Giovanni,29-12-2008 14:30
190,307,8,2168,Cavalleria Rusticana and Pagliacci,08-12-2008 20:00
191,300,8,1919,The Fly,03-04-2008 19:30
192,308,8,1965,Eugene Onegin,01-05-2008 15:00
193,304,8,2049,Il Trovatore,11-08-2008 14:00
194,303,8,2155,Doctor Atomic,25-11-2008 14:30
195,305,8,1904,Orfeo ed Euridice,19-03-2008 14:30
196,302,8,2028,Lucia di Lammermoor,21-07-2008 19:00
197,303,8,2104,La Boheme,05-10-2008 15:00
198,305,8,2135,Eugene Onegin,05-11-2008 14:00
199,308,8,2142,Orfeo ed Euridice,12-11-2008 19:30
200,306,8,1911,L Elisir d Amore,26-03-2008 19:30
201,308,8,2070,Doctor Atomic,01-09-2008 19:30
202,309,8,1834,Adriana Lecouvreur,08-01-2008 19:30
203,306,8,1893,Orfeo ed Euridice,08-03-2008 19:00
204,303,8,1832,Adriana Lecouvreur,06-01-2008 14:30
205,306,8,2031,Lucia di Lammermoor,24-07-2008 14:00
206,308,8,1846,Thais,20-01-2008 15:00
207,304,8,1995,La Boheme,18-06-2008 19:00
208,302,8,1851,Adriana Lecouvreur,25-01-2008 19:30
209,301,8,1977,The Magic Flute,01-05-2008 14:00
210,306,8,1937,Il Trovatore,21-04-2008 14:30
211,306,8,2137,La Boheme,07-11-2008 19:30
212,307,8,1959,La Rondine,01-05-2008 19:00
213,300,8,1882,Die Walkure,25-02-2008 14:30
214,302,8,1905,L Elisir d Amore,20-03-2008 14:00
215,305,8,1989,L Elisir d Amore,12-06-2008 19:00
216,300,8,2171,Salome,11-12-2008 14:30
217,309,8,2118,Don Giovanni,19-10-2008 20:00
218,303,8,1901,Orfeo ed Euridice,16-03-2008 19:00
219,307,8,2035,La Gioconda,28-07-2008 19:30
220,308,8,2047,Das Rheingold,09-08-2008 19:30
221,302,8,2047,The Queen of Spades,09-08-2008 14:00
222,307,8,1974,The Magic Flute,01-05-2008 19:00
223,306,8,2166,Eugene Onegin,06-12-2008 19:00
224,305,8,2158,Doctor Atomic,28-11-2008 19:00
225,304,8,1993,The Magic Flute,16-06-2008 19:30
226,303,8,1925,Orfeo ed Euridice,09-04-2008 19:00
227,309,8,1975,Boris Godunov,01-05-2008 20:00
228,308,8,1934,The Magic Flute,18-04-2008 14:30
229,304,8,2018,La Damnation de Faust,11-07-2008 19:00
230,305,8,1929,The Queen of Spades,13-04-2008 20:00
231,306,8,2174,Carmen,14-12-2008 15:00
232,306,8,2113,Rusalka,14-10-2008 14:00
233,301,8,2172,Simon Boccanegra,12-12-2008 19:30
234,301,8,1856,La Damnation de Faust,30-01-2008 14:00
235,305,8,2049,Ring Cycle,11-08-2008 15:00
236,303,8,1989,Eugene Onegin,12-06-2008 15:00
237,305,8,1905,Simon Boccanegra,20-03-2008 19:30
238,300,8,2002,The Birds (Die Vogel),25-06-2008 19:30
239,300,8,2018,La Sonnambula,11-07-2008 14:30
240,301,8,1935,Rusalka,19-04-2008 14:00
241,304,8,1942,Don Giovanni,26-04-2008 19:30
242,308,8,2002,Das Rheingold,25-06-2008 19:00
243,300,8,2010,Doctor Atomic,03-07-2008 20:00
244,301,8,2153,Simon Boccanegra,23-11-2008 19:00
245,306,8,2189,La Sonnambula,29-12-2008 19:30
246,303,8,2123,The Fly,24-10-2008 14:30
247,304,8,1899,La Sonnambula,14-03-2008 19:00
248,303,8,1923,Orfeo ed Euridice,07-04-2008 14:30
249,300,8,1931,Thais,15-04-2008 20:00
250,308,8,1907,Lucia di Lammermoor,22-03-2008 15:00
251,305,8,1835,Ring Cycle,09-01-2008 20:00
